Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-16 13:03:02.581,30.997,TCP  ,12453_121,4,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---
2017-03-16 13:03:02.581,30.997,TCP  ,EXT_SERVER,80,12453_121,4.0,6,     264,1,.A..S.,0,unknown,---,---,---
2017-03-16 13:58:40.044,0.061,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,52799.0,7,     556,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.044,0.061,TCP  ,OPENSTACK_NET,52799,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.044,0.08,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,52800.0,7,     702,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.044,0.08,TCP  ,OPENSTACK_NET,52800,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.582,0.062,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,59040.0,7,     702,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.582,0.062,TCP  ,OPENSTACK_NET,59040,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.583,0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,59041.0,7,     556,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:58:40.583,0.056,TCP  ,OPENSTACK_NET,59041,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---
2017-03-16 13:03:13.631,31.0,TCP  ,12453_121,40092,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---
2017-03-16 13:03:13.631,31.0,TCP  ,EXT_SERVER,80,12453_121,40092.0,6,     264,1,.A..S.,0,unknown,---,---,---
2017-03-16 13:03:13.633,30.997,TCP  ,12453_121,37678,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---
2017-03-16 13:03:13.633,30.997,TCP  ,EXT_SERVER,80,12453_121,37678.0,6,     264,1,.A..S.,0,unknown,---,---,---
2017-03-16 14:01:47.352,0.0,TCP  ,10268_87,34845,EXT_SERVER,8080.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-16 14:01:47.352,0.0,TCP  ,EXT_SERVER,8080,10268_87,34845.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-16 13:03:24.657,30.998,TCP  ,12453_121,17592,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---
2017-03-16 13:03:24.657,30.998,TCP  ,EXT_SERVER,80,12453_121,17592.0,6,     264,1,.A..S.,0,unknown,---,---,---
2017-03-16 13:03:25.400,30.998,TCP  ,12453_121,43196,EXT_SERVER,80.0,1,      46,1,....S.,0,unknown,---,---,---
2017-03-16 13:03:25.400,30.998,TCP  ,EXT_SERVER,80,12453_121,43196.0,6,     264,1,.A..S.,0,unknown,---,---,---
2017-03-16 14:01:58.874,0.0,TCP  ,12546_79,63193,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-16 14:01:58.874,0.0,TCP  ,EXT_SERVER,23,12546_79,63193.0,1,      40,1,.A.R..,0,suspicious,---,---,---
