Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-14 17:43:57.172,81412.697,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,56978.0,3057,   2.1 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:43:57.172,81412.697,TCP  ,OPENSTACK_NET,56978,EXT_SERVER,8082.0,4748,   2.5 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:43:26.135,81504.787,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,56979.0,8639,   9.1 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:43:26.135,81504.787,TCP  ,OPENSTACK_NET,56979,EXT_SERVER,8082.0,12024,  10.3 M,1,.AP...,0,normal,---,---,---
2017-03-14 18:17:09.005,82100.692,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,51649.0,11012,  27.2 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 18:17:09.005,82100.692,TCP  ,OPENSTACK_NET,51649,EXT_SERVER,8082.0,14186,   1.2 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 19:46:37.327,83640.139,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,37039.0,9974,  31.9 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 19:46:37.327,83640.139,TCP  ,OPENSTACK_NET,37039,EXT_SERVER,8082.0,16476,   1.7 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 19:02:42.704,86303.297,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,48380.0,10178,  25.2 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 19:02:42.704,86303.297,TCP  ,OPENSTACK_NET,48380,EXT_SERVER,8082.0,14552,   2.6 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 20:17:17.014,87709.785,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,50807.0,17031,  52.5 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 20:17:17.014,87709.785,TCP  ,OPENSTACK_NET,50807,EXT_SERVER,8082.0,24706,   3.5 M,1,.AP.S.,0,normal,---,---,---
2017-03-14 17:44:10.042,183356.392,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,60803.0,24161,  64.8 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:44:10.042,183356.392,TCP  ,OPENSTACK_NET,60803,EXT_SERVER,8082.0,34136,   9.8 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:43:39.011,183418.493,TCP  ,EXT_SERVER,8082,OPENSTACK_NET,60802.0,13266,  33.0 M,1,.AP...,0,normal,---,---,---
2017-03-14 17:43:39.011,183418.493,TCP  ,OPENSTACK_NET,60802,EXT_SERVER,8082.0,20751,   5.8 M,1,.AP...,0,normal,---,---,---
2017-03-15 00:00:10.677,0.0,TCP  ,10000_214,8830,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-15 00:00:10.677,0.0,TCP  ,EXT_SERVER,23,10000_214,8830.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-15 00:00:09.156,15.42,TCP  ,EXT_SERVER,22,10001_123,4589.0,19,    3093,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:00:09.156,15.42,TCP  ,10001_123,4589,EXT_SERVER,22.0,13,    2843,1,.APRS.,0,suspicious,---,---,---
2017-03-15 00:00:27.441,0.0,TCP  ,10002_148,18816,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-15 00:00:27.441,0.0,TCP  ,EXT_SERVER,23,10002_148,18816.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-15 00:00:27.659,14.644,TCP  ,EXT_SERVER,22,10001_123,3477.0,18,    2985,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:00:27.659,14.644,TCP  ,10001_123,3477,EXT_SERVER,22.0,13,    2843,1,.APRS.,0,suspicious,---,---,---
2017-03-15 00:00:56.784,0.0,TCP  ,EXT_SERVER,23,10003_214,42182.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-15 00:00:56.784,0.0,TCP  ,10003_214,42182,EXT_SERVER,23.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-15 00:00:02.296,62.046,TCP  ,10004_35,57382,EXT_SERVER,22.0,7,     420,1,.APRSF,0,suspicious,---,---,---
2017-03-15 00:00:02.296,62.046,TCP  ,EXT_SERVER,22,10004_35,57382.0,12,    4773,1,.AP.SF,0,suspicious,---,---,---
2017-03-15 00:00:55.806,14.313,TCP  ,EXT_SERVER,22,10001_123,3398.0,20,    3065,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:00:55.806,14.313,TCP  ,10001_123,3398,EXT_SERVER,22.0,15,    2871,1,.APRS.,0,suspicious,---,---,---
2017-03-15 00:01:28.437,0.001,TCP  ,10005_82,24989,EXT_SERVER,7547.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-15 00:01:28.437,0.001,TCP  ,EXT_SERVER,7547,10005_82,24989.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-15 00:01:15.747,13.486,TCP  ,EXT_SERVER,22,10001_123,2645.0,20,    3065,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:01:15.747,13.486,TCP  ,10001_123,2645,EXT_SERVER,22.0,15,    2871,1,.APRS.,0,suspicious,---,---,---
2017-03-15 00:01:30.232,8.33,TCP  ,10004_35,52214,EXT_SERVER,22.0,6,     329,1,.APRSF,0,suspicious,---,---,---
2017-03-15 00:01:30.232,8.33,TCP  ,EXT_SERVER,22,10004_35,52214.0,7,    2430,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:01:32.957,14.508,TCP  ,EXT_SERVER,22,10001_123,2207.0,20,    3065,1,.AP.S.,0,suspicious,---,---,---
2017-03-15 00:01:32.957,14.508,TCP  ,10001_123,2207,EXT_SERVER,22.0,16,    2917,1,.APRS.,0,suspicious,---,---,---
2017-03-15 00:02:19.498,9.62,TCP  ,10006_27,34328,EXT_SERVER,22.0,15,    2157,1,.APRSF,0,suspicious,---,---,---
