Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-19 08:24:25.647,141.672,TCP  ,10004_36,11594,EXT_SERVER,22.0,4,     210,1,.A.RS.,0,suspicious,---,---,---
2017-03-19 08:24:25.647,141.672,TCP  ,EXT_SERVER,22,10004_36,11594.0,8,     465,1,.AP.SF,0,suspicious,---,---,---
2017-03-19 07:29:19.128,30.999,TCP  ,16209_4,47650,EXT_SERVER,22.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-19 07:29:19.128,30.999,TCP  ,EXT_SERVER,22,16209_4,47650.0,6,     264,1,.A..S.,0,suspicious,---,---,---
2017-03-19 08:28:03.990,5.546,TCP  ,10006_27,46333,EXT_SERVER,22.0,7,     420,1,.APRSF,0,suspicious,---,---,---
2017-03-19 08:28:03.990,5.546,TCP  ,EXT_SERVER,22,10006_27,46333.0,8,    1535,1,.AP.SF,0,suspicious,---,---,---
2017-03-19 08:28:23.802,0.0,TCP  ,11203_149,58484,EXT_SERVER,8080.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-19 08:28:23.802,0.0,TCP  ,EXT_SERVER,8080,11203_149,58484.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-19 08:28:09.681,16.818,TCP  ,10004_36,61445,EXT_SERVER,22.0,4,     225,1,.APRSF,0,suspicious,---,---,---
2017-03-19 08:28:09.681,16.818,TCP  ,EXT_SERVER,22,10004_36,61445.0,9,    4498,1,.AP.S.,0,suspicious,---,---,---
2017-03-19 08:25:40.251,0.072,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60551.0,7,     702,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.251,0.072,TCP  ,OPENSTACK_NET,60551,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.251,0.055,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60552.0,7,     556,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.251,0.055,TCP  ,OPENSTACK_NET,60552,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.571,0.06,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,65323.0,7,     702,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.571,0.06,TCP  ,OPENSTACK_NET,65323,EXT_SERVER,8000.0,6,     586,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.571,0.038,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,65324.0,7,     556,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:40.571,0.038,TCP  ,OPENSTACK_NET,65324,EXT_SERVER,8000.0,6,     515,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.572,120.852,TCP  ,10004_36,19143,EXT_SERVER,22.0,5,     277,1,.APRSF,0,suspicious,---,---,---
2017-03-19 08:26:40.572,120.852,TCP  ,EXT_SERVER,22,10004_36,19143.0,11,    6590,1,.AP.SF,0,suspicious,---,---,---
2017-03-19 08:25:42.130,0.047,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,65325.0,7,     639,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:42.130,0.047,TCP  ,OPENSTACK_NET,65325,EXT_SERVER,8000.0,6,     614,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:42.288,0.053,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60553.0,7,     639,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:25:42.288,0.053,TCP  ,OPENSTACK_NET,60553,EXT_SERVER,8000.0,6,     614,1,.AP.SF,0,normal,---,---,---
2017-03-19 07:30:15.075,30.999,TCP  ,10004_36,49764,EXT_SERVER,22.0,1,      60,1,....S.,0,suspicious,---,---,---
2017-03-19 07:30:15.075,30.999,TCP  ,EXT_SERVER,22,10004_36,49764.0,6,     360,1,.A..S.,0,suspicious,---,---,---
2017-03-19 08:28:57.467,0.0,TCP  ,16210_157,4167,EXT_SERVER,7547.0,1,      46,1,....S.,0,suspicious,---,---,---
2017-03-19 08:28:57.467,0.0,TCP  ,EXT_SERVER,7547,16210_157,4167.0,1,      40,1,.A.R..,0,suspicious,---,---,---
2017-03-19 08:28:54.536,6.418,TCP  ,10004_36,60764,EXT_SERVER,22.0,6,     359,1,.APRSF,0,suspicious,---,---,---
2017-03-19 08:28:54.536,6.418,TCP  ,EXT_SERVER,22,10004_36,60764.0,6,    2362,1,.AP.S.,0,suspicious,---,---,---
2017-03-19 08:28:59.793,1.103,TCP  ,16211_225,3209,EXT_SERVER,445.0,3,     144,1,....S.,0,suspicious,---,---,---
2017-03-19 08:28:59.793,1.103,TCP  ,EXT_SERVER,445,16211_225,3209.0,3,     120,1,.A.R..,0,suspicious,---,---,---
2017-03-19 08:22:52.841,202.854,TCP  ,10004_36,21621,EXT_SERVER,22.0,5,     276,1,.A..SF,0,suspicious,---,---,---
2017-03-19 08:22:52.841,202.854,TCP  ,EXT_SERVER,22,10004_36,21621.0,12,     789,1,.AP.SF,0,suspicious,---,---,---
2017-03-19 08:26:40.208,0.095,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60570.0,7,     561,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.208,0.095,TCP  ,OPENSTACK_NET,60570,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.209,0.103,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,60571.0,7,    1723,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.209,0.103,TCP  ,OPENSTACK_NET,60571,EXT_SERVER,8000.0,6,     579,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.589,0.056,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,65342.0,7,     561,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.589,0.056,TCP  ,OPENSTACK_NET,65342,EXT_SERVER,8000.0,6,     589,1,.AP.SF,0,normal,---,---,---
2017-03-19 08:26:40.694,0.058,TCP  ,EXT_SERVER,8000,OPENSTACK_NET,65343.0,7,    1723,1,.AP.SF,0,normal,---,---,---
